Threshold,Cow,Pooling.method,Primer,Cooperia oncophora,Cooperia punctata,Haemonchus contortus,Haemonchus placei,Oesophagostomum radiatum,Ostertagia ostertagi,Trichostrongylus axei
All reads,C16,P14,NEMA2,0.021559892,0.018673527,0,0.909568928,0.019263349,0.018460187,0.012474117
All reads,C16,P15,NEMA2,0.022194277,0.019946755,0.000294318,0.906152591,0.020950113,0.017953417,0.012508529
All reads,C16,P16,NEMA2,0.022229666,0.018678815,0,0.907597481,0.020983519,0.017982045,0.012528474
All reads,C17,P1,NEMA2,0.006628899,0.014879763,0,0.177687407,0.683857925,0.062245833,0.054700172
All reads,C17,P2,NEMA2,0.008564926,0.015832135,0,0.183536975,0.672815844,0.063927488,0.055322632
All reads,C17,P3,NEMA2,0.007864909,0.016318634,0,0.181734065,0.680083276,0.062582802,0.051416314
All reads,C17,P4,NEMA2,0.006397113,0.014331994,0,0.179508735,0.690662675,0.055052079,0.054047404
All reads,C17,P5,NEMA2,0.006744108,0.015144242,0,0.175850814,0.693419095,0.05500888,0.053832861
All reads,C17,P6,NEMA2,0.006388561,0.013698356,8.01073E-05,0.16912663,0.709370557,0.048024353,0.053311437
All reads,C17,P7,NEMA2,0.005785417,0.014515758,0,0.167296727,0.713193676,0.049959272,0.049249149
All reads,C17,P8,NEMA2,0.007739938,0.015708151,0,0.181150219,0.678632064,0.062961008,0.05380862
All reads,C17,P9,NEMA2,0.007409734,0.0156975,0,0.18127436,0.679097126,0.063004155,0.053517125
All reads,C17,P10,NEMA2,0.006466457,0.015712418,0,0.181446629,0.679742485,0.063064029,0.053567984
All reads,C17,P11,NEMA2,0.007675782,0.015394747,0,0.18085049,0.677887055,0.063155167,0.05503676
All reads,C17,P12,NEMA2,0.006873001,0.015410219,0,0.181032247,0.678568341,0.063218639,0.054897553
All reads,C17,P13,NEMA2,0.007281284,0.015639221,0,0.179823296,0.681865607,0.062423691,0.052966901
All reads,C17,P14,NEMA2,0.006986094,0.015615976,0,0.179939135,0.682304856,0.062463903,0.052690035
All reads,C17,P15,NEMA2,0.008224004,0.016069069,0,0.182658924,0.67635522,0.063272601,0.053420182
All reads,C17,P16,NEMA2,0.006956201,0.016066977,0,0.18298501,0.677562662,0.063385556,0.053043594
0.05%,C13,P1,NEMA1,0.012290683,0.011619794,0,0.664850794,0.236957922,0.036093817,0.03818699
0.05%,C13,P2,NEMA1,0.013222912,0.011456177,0.000966184,0.684140787,0.21915804,0.032877847,0.038178054
0.05%,C13,P3,NEMA1,0.01181756,0.010010743,0,0.674309015,0.227878699,0.036185174,0.039798808
0.05%,C13,P4,NEMA1,0.013225064,0.011532256,0.000529003,0.653952972,0.248472505,0.035575423,0.036712778
0.05%,C13,P5,NEMA1,0.013054092,0.012000514,0.000616729,0.635693177,0.253090068,0.04293974,0.042605679
0.05%,C13,P6,NEMA1,0.013623049,0.012379118,0,0.669154528,0.221720637,0.038180651,0.044942017
0.05%,C13,P7,NEMA1,0.013492288,0.011432397,0,0.657543065,0.236449777,0.037464274,0.043618199
0.05%,C13,P8,NEMA1,0.012413082,0.010989203,0.00057654,0.674158776,0.228012859,0.03509906,0.03875048
0.05%,C13,P9,NEMA1,0.012435025,0.0102473,0,0.674965434,0.228372158,0.035161104,0.038818979
0.05%,C13,P10,NEMA1,0.012493845,0.009311036,0,0.678158191,0.229452416,0.033349159,0.037235352
0.05%,C13,P11,NEMA1,0.012747432,0.01153663,0.00069383,0.674212639,0.228134141,0.034501054,0.038174274
0.05%,C13,P12,NEMA1,0.012800721,0.011584858,0,0.676552958,0.229019522,0.032828317,0.037213623
0.05%,C13,P13,NEMA1,0.012042956,0.010777295,0,0.669803119,0.23220404,0.036141652,0.039030938
0.05%,C13,P14,NEMA1,0.01209165,0.008933958,0,0.671946602,0.23307875,0.036287786,0.037661254
0.05%,C13,P15,NEMA1,0.01247474,0.010687082,0.000647702,0.678791647,0.223742163,0.034626146,0.03903052
0.05%,C13,P16,NEMA1,0.01252178,0.00891998,0,0.681234234,0.224585858,0.03356045,0.039177697
0.05%,C14,P1,NEMA1,0.0182191,0.032068305,0.000672292,0.737772698,0.158190191,0,0.053077414
0.05%,C14,P2,NEMA1,0.013981989,0.026271244,0,0.755196696,0.161690026,0,0.042860045
0.05%,C14,P3,NEMA1,0.019709416,0.036813389,0.000521089,0.702458313,0.181829328,0,0.058668465
0.05%,C14,P4,NEMA1,0.017142857,0.03047619,0,0.739254159,0.164819277,0,0.048307516
0.05%,C14,P5,NEMA1,0.016031449,0.030250914,0,0.734897577,0.167746691,0,0.05107337
0.05%,C14,P6,NEMA1,0.021534757,0.036585931,0.000740981,0.669290974,0.2048349,0,0.067012458
0.05%,C14,P7,NEMA1,0.016990482,0.030755919,0.000524398,0.743726894,0.156191825,0,0.051810483
0.05%,C14,P8,NEMA1,0.017393387,0.031902388,0,0.731131767,0.167773255,0,0.051799203
0.05%,C14,P9,NEMA1,0.016634893,0.031929844,0,0.731760989,0.167830492,0,0.051843782
0.05%,C14,P10,NEMA1,0.013432134,0.032033837,0,0.734144289,0.168377105,0,0.052012634
0.05%,C14,P11,NEMA1,0.01611352,0.029189937,0,0.746705587,0.159987852,0,0.048003105
0.05%,C14,P12,NEMA1,0.013084397,0.02928332,0,0.749094418,0.160381191,0,0.048156674
0.05%,C14,P13,NEMA1,0.018998605,0.034550206,0.000593205,0.719301621,0.170554567,0,0.056001796
0.05%,C14,P14,NEMA1,0.018555675,0.034591245,0,0.720156022,0.170628742,0,0.056068316
0.05%,C14,P15,NEMA1,0.016992517,0.031812696,0,0.727717435,0.172306702,0,0.051170649
0.05%,C14,P16,NEMA1,0.013357022,0.031930873,0,0.730420738,0.172930631,0,0.051360736
0.05%,C15,P1,NEMA1,0.003544732,0.002736606,0.00062446,0.630631623,0.29996143,0.029423109,0.033078039
0.05%,C15,P2,NEMA1,0.001435533,0.003286616,0.001699974,0.640021155,0.294737637,0.023516301,0.035302784
0.05%,C15,P3,NEMA1,0.00508837,0.002900617,0.001868194,0.648361643,0.288046017,0.025466434,0.028268725
0.05%,C15,P4,NEMA1,0.002611923,0.002955597,0.001328873,0.633093525,0.296063786,0.026783669,0.037162627
0.05%,C15,P5,NEMA1,0.003561804,0.002929115,0.002062097,0.620456942,0.313298184,0.029127124,0.028564733
0.05%,C15,P6,NEMA1,0.003289224,0.002909698,0.001695215,0.620954887,0.310603952,0.027553576,0.032993447
0.05%,C15,P7,NEMA1,0.002078067,0.002935001,0.001114015,0.632075067,0.306761215,0.025343845,0.029692789
0.05%,C15,P8,NEMA1,0.003214696,0.002978321,0.001350713,0.638859999,0.294820018,0.026224083,0.032552171
0.05%,C15,P9,NEMA1,0.002710394,0.00298821,0.000643719,0.639971541,0.295765009,0.026311153,0.031609974
0.05%,C15,P10,NEMA1,0,0.002014743,0.000530912,0.642172111,0.297099723,0.026429889,0.031752622
